data,label,ntiles
/explore/nobackup/projects/3sl/data/Tappan/Tappan19_WV02_20120229_M1BS_1030010011B55E00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan19_WV02_20120229_M1BS_1030010011B55E00_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan19_WV02_20130117_M1BS_103001001E28E300_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan19_WV02_20130117_M1BS_103001001E28E300_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan19_WV02_20180430_M1BS_103001007EB3E800_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan19_WV02_20180430_M1BS_103001007EB3E800_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan19_WV03_20160617_M1BS_104001001E3B1600_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan19_WV03_20160617_M1BS_104001001E3B1600_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan20_WV02_20110320_M1BS_10300100095E3100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan20_WV02_20110320_M1BS_10300100095E3100_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan20_WV03_20141119_M1BS_10400100043B9F00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan20_WV03_20141119_M1BS_10400100043B9F00_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan21_WV02_20120426_M1BS_1030010018C95F00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan21_WV02_20120426_M1BS_1030010018C95F00_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan22_WV02_20101108_M1BS_1030010007046300_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan22_WV02_20101108_M1BS_1030010007046300_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan23_WV02_20110514_M1BS_103001000B88A400_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan23_WV02_20110514_M1BS_103001000B88A400_mask.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan24_WV02_20140121_M1BS_103001002CA7C100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_crop_fixed/Tappan24_WV02_20140121_M1BS_103001002CA7C100_mask.tif,1000
