data,label,ntiles
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan01_WV02_20110430_M1BS_103001000A27E100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan01_WV02_20110430_M1BS_103001000A27E100_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan01_WV02_20130414_M1BS_103001001F227000_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan01_WV02_20130414_M1BS_103001001F227000_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan01_WV02_20181217_M1BS_1030010089CC6D00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan01_WV02_20181217_M1BS_1030010089CC6D00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan02_WV02_20120218_M1BS_103001001077BE00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan02_WV02_20120218_M1BS_103001001077BE00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan02_WV03_20160123_M1BS_1040010018A59100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan02_WV03_20160123_M1BS_1040010018A59100_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan04_WV02_20120218_M1BS_103001001077BE00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan04_WV02_20120218_M1BS_103001001077BE00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan04_WV03_20160123_M1BS_1040010018A59100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan04_WV03_20160123_M1BS_1040010018A59100_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan05_WV02_20110207_M1BS_1030010008B55200_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan05_WV02_20110207_M1BS_1030010008B55200_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan05_WV02_20181217_M1BS_1030010089CC6D00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan05_WV02_20181217_M1BS_1030010089CC6D00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan06_WV02_20131206_M1BS_10300100291F4300_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan06_WV02_20131206_M1BS_10300100291F4300_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan06_WV03_20151209_M1BS_10400100156ADA00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan06_WV03_20151209_M1BS_10400100156ADA00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan07_WV02_20190207_M1BS_103001008ACFCA00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan07_WV02_20190207_M1BS_103001008ACFCA00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan13_WV02_20110105_M1BS_1030010008ACD100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan13_WV02_20110105_M1BS_1030010008ACD100_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan13_WV03_20170226_M1BS_104001002802FF00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan13_WV03_20170226_M1BS_104001002802FF00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan14_WV02_20151125_M1BS_103001004C99E800_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan14_WV02_20151125_M1BS_103001004C99E800_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan25_WV02_20210209_M1BS_10300100B3074C00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan25_WV02_20210209_M1BS_10300100B3074C00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan26_WV03_20190426_M1BS_104001004AC24900_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan26_WV03_20190426_M1BS_104001004AC24900_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan08_WV02_20130508_M1BS_1030010022117F00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan08_WV02_20130508_M1BS_1030010022117F00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan03_WV03_20141119_M1BS_10400100043B9F00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan03_WV03_20141119_M1BS_10400100043B9F00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan08_WV02_20110116_M1BS_10300100084E6A00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan08_WV02_20110116_M1BS_10300100084E6A00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan25_WV02_20110430_M1BS_103001000A6FE900_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan25_WV02_20110430_M1BS_103001000A6FE900_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan25_WV03_20170304_M1BS_10400100299D3A00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan25_WV03_20170304_M1BS_10400100299D3A00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan26_WV03_20170304_M1BS_1040010029299F00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan26_WV03_20170304_M1BS_1040010029299F00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan25_WV02_20180108_M1BS_1030010076555400_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan25_WV02_20180108_M1BS_1030010076555400_mask.tif,2000
