data,label,ntiles
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan02_WV03_20160123_M1BS_1040010018A59100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan02_WV03_20160123_M1BS_1040010018A59100_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan01_WV02_20110430_M1BS_103001000A27E100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan01_WV02_20110430_M1BS_103001000A27E100_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan04_WV03_20160123_M1BS_1040010018A59100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan04_WV03_20160123_M1BS_1040010018A59100_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan05_WV02_20181217_M1BS_1030010089CC6D00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan05_WV02_20181217_M1BS_1030010089CC6D00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan07_WV03_20151209_M1BS_10400100156ADA00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan07_WV03_20151209_M1BS_10400100156ADA00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan13_WV02_20110105_M1BS_1030010008ACD100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan13_WV02_20110105_M1BS_1030010008ACD100_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan16_WV02_20111215_M1BS_103001000FA26B00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan16_WV02_20111215_M1BS_103001000FA26B00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan17_WV02_20141205_M1BS_103001003B68BC00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan17_WV02_20141205_M1BS_103001003B68BC00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan18_WV03_20211115_M1BS_104001006E426400_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan18_WV03_20211115_M1BS_104001006E426400_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan15_WV02_20180430_M1BS_103001007EB3E800_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan15_WV02_20180430_M1BS_103001007EB3E800_mask.tif,2000
