data,label,ntiles
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan03_WV02_20130530_M1BS_1030010022659A00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan03_WV02_20130530_M1BS_1030010022659A00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan03_WV02_20180328_M1BS_103001007A20F500_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan03_WV02_20180328_M1BS_103001007A20F500_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan08_WV02_20170225_M1BS_10300100641D1900_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan08_WV02_20170225_M1BS_10300100641D1900_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan08_WV02_20160514_M1BS_1030010056381400_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan08_WV02_20160514_M1BS_1030010056381400_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan25_WV03_20201202_M1BS_1040010063082A00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan25_WV03_20201202_M1BS_1040010063082A00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan25_WV02_20150301_M1BS_103001003EB5E300_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan25_WV02_20150301_M1BS_103001003EB5E300_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan26_WV02_20121207_M1BS_103001001C9A6300_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan26_WV02_20121207_M1BS_103001001C9A6300_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan26_WV02_20150331_M1BS_103001003F672400_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan26_WV02_20150331_M1BS_103001003F672400_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan26_WV03_20160225_M1BS_104001001912BE00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan26_WV03_20160225_M1BS_104001001912BE00_mask.tif,2000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan26_WV02_20220106_M1BS_10300100CB89EC00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m_all_fixed/Tappan26_WV02_20220106_M1BS_10300100CB89EC00_mask.tif,2000
