data,label,ntiles
/explore/nobackup/projects/3sl/data/Tappan/Tappan01_WV02_20110430_M1BS_103001000A27E100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan01_WV02_20110430_M1BS_103001000A27E100_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan01_WV02_20130414_M1BS_103001001F227000_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan01_WV02_20130414_M1BS_103001001F227000_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan01_WV02_20181217_M1BS_1030010089CC6D00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan01_WV02_20181217_M1BS_1030010089CC6D00_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan02_WV02_20120218_M1BS_103001001077BE00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan02_WV02_20120218_M1BS_103001001077BE00_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan02_WV03_20160123_M1BS_1040010018A59100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan02_WV03_20160123_M1BS_1040010018A59100_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan04_WV02_20120218_M1BS_103001001077BE00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan04_WV02_20120218_M1BS_103001001077BE00_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan04_WV03_20160123_M1BS_1040010018A59100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan04_WV03_20160123_M1BS_1040010018A59100_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan05_WV02_20110207_M1BS_1030010008B55200_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan05_WV02_20110207_M1BS_1030010008B55200_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan05_WV02_20181217_M1BS_1030010089CC6D00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan05_WV02_20181217_M1BS_1030010089CC6D00_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan06_WV02_20131206_M1BS_10300100291F4300_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan06_WV02_20131206_M1BS_10300100291F4300_mask_segs_reclassified.tif,2000
/explore/nobackup/projects/3sl/data/Tappan/Tappan06_WV03_20151209_M1BS_10400100156ADA00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan06_WV03_20151209_M1BS_10400100156ADA00_mask_segs_reclassified.tif,2000
