data,label,ntiles
/adapt/nobackup/projects/3sl/data/Tappan/Tappan01_WV02_20110430_M1BS_103001000A27E100_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan01_WV02_20110430_M1BS_103001000A27E100_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan02_WV02_20120218_M1BS_103001001077BE00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan02_WV02_20120218_M1BS_103001001077BE00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan04_WV02_20120218_M1BS_103001001077BE00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan04_WV02_20120218_M1BS_103001001077BE00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan05_WV02_20110207_M1BS_1030010008B55200_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan05_WV02_20110207_M1BS_1030010008B55200_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan05_WV02_20110430_M1BS_103001000A27E100_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan05_WV02_20110430_M1BS_103001000A27E100_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan02_WV03_20160123_M1BS_1040010018A59100_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan02_WV03_20160123_M1BS_1040010018A59100_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan04_WV03_20160123_M1BS_1040010018A59100_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan04_WV03_20160123_M1BS_1040010018A59100_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan06_WV02_20131206_M1BS_10300100291F4300_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan06_WV02_20131206_M1BS_10300100291F4300_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan06_WV03_20151209_M1BS_10400100156ADA00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan06_WV03_20151209_M1BS_10400100156ADA00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan07_WV02_20190207_M1BS_103001008ACFCA00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan07_WV02_20190207_M1BS_103001008ACFCA00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan07_WV03_20151209_M1BS_10400100156ADA00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan07_WV03_20151209_M1BS_10400100156ADA00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan13_WV02_20110105_M1BS_1030010008ACD100_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan13_WV02_20110105_M1BS_1030010008ACD100_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan13_WV03_20170226_M1BS_104001002802FF00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan13_WV03_20170226_M1BS_104001002802FF00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan14_WV02_20110130_M1BS_103001000899D600_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan14_WV02_20110130_M1BS_103001000899D600_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan14_WV02_20181217_M1BS_103001008B8CEC00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan14_WV02_20181217_M1BS_103001008B8CEC00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan15_WV02_20180430_M1BS_103001007EB3E800_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan15_WV02_20180430_M1BS_103001007EB3E800_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan15_WV03_20150325_M1BS_104001000970C400_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan15_WV03_20150325_M1BS_104001000970C400_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan16_WV02_20111215_M1BS_103001000FA26B00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan16_WV02_20111215_M1BS_103001000FA26B00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan16_WV02_20180508_M1BS_103001007E750C00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan16_WV02_20180508_M1BS_103001007E750C00_mask_segs_reclassified.tif,1000
/adapt/nobackup/projects/3sl/data/Tappan/Tappan17_WV02_20141205_M1BS_103001003B68BC00_data.tif,/adapt/nobackup/projects/3sl/labels/landcover/tappan/Tappan17_WV02_20141205_M1BS_103001003B68BC00_mask_segs_reclassified.tif,1000
