data,label,ntiles
/explore/nobackup/projects/3sl/data/Tappan/Tappan02_WV03_20160123_M1BS_1040010018A59100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan02_WV03_20160123_M1BS_1040010018A59100_mask_segs_reclassified.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan03_WV02_20130530_M1BS_1030010022659A00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/wCAS/Tappan03_WV02_20130530_M1BS_1030010022659A00_mask_segs_reclassified.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan04_WV03_20160123_M1BS_1040010018A59100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan04_WV03_20160123_M1BS_1040010018A59100_mask_segs_reclassified.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan05_WV02_20181217_M1BS_1030010089CC6D00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan05_WV02_20181217_M1BS_1030010089CC6D00_mask_segs_reclassified.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan13_WV02_20110105_M1BS_1030010008ACD100_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan13_WV02_20110105_M1BS_1030010008ACD100_mask_segs_reclassified.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan17_WV02_20141205_M1BS_103001003B68BC00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan17_WV02_20141205_M1BS_103001003B68BC00_mask_segs_reclassified.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan18_WV03_20211115_M1BS_104001006E426400_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/eCAS/Tappan18_WV03_20211115_M1BS_104001006E426400_mask_segs_reclassified.tif,1000
/explore/nobackup/projects/3sl/data/Tappan/Tappan08_WV02_20160514_M1BS_1030010056381400_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/wCAS/Tappan08_WV02_20160514_M1BS_1030010056381400_mask_segs_reclassified.tif,1000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan07_WV03_20151209_M1BS_10400100156ADA00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/CAS/Tappan07_WV03_20151209_M1BS_10400100156ADA00_mask_segs_reclassified.tif,1000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan16_WV02_20111215_M1BS_103001000FA26B00_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/CAS/Tappan16_WV02_20111215_M1BS_103001000FA26B00_mask_segs_reclassified.tif,1000
/explore/nobackup/people/mcarrol2/LCLUC_Senegal/ForKonrad/Tappan19_WV02_20180119_M1BS_103001007A5E8700_data.tif,/explore/nobackup/projects/3sl/labels/landcover/2m/ETZ/Tappan19_WV02_20180119_M1BS_103001007A5E8700_mask_segs_reclassified.tif,1000
