Tile	ulX	ulY
1	597415	1468280
2	604775	1462750
4	604794	1447100
5	597519	1441160
6	634000	1474810
7	634100	1448150
8   476974  1481760
9	380842	1822959
10	413703  1821485
11	430442  1830170
12	395165  1822855
13	547543  1422828
14	583074  1420297
15	564092  1457641
16	519403  1418109
17	608453  1421924
18	535952  1460425
19	547234  1537712
20	501018  1542524
21	488066  1565276
22	535542  1589996
23	553049  1569692
24	566613  1598123
25  356974  1431760
26  336974  1421760
27  506974  1621760
28  536974  1631760
29  456974  1651760
30  476974  1711760
31  596974  1661760
32  736974  1571760
33  726974  1501760
